credit_amount,business_age_months,monthly_income_avg,total_deposits_3m,revenue_volatility_3m,request_ratio,dti_monthly,nsf_count_3m,negative_days_3m,owner_percentage,owner_credit_score,p_viable,risk_sharp
59092.7,12,25768.7,85994.58,0.659,2.293,0.492,2,2,86.0,736,0.844,0
15588.26,37,8968.59,26241.08,0.722,1.738,0.257,0,7,82.2,559,0.535,0
32338.07,89,39253.7,115832.47,0.442,0.824,0.443,1,4,86.6,633,0.976,0
18170.04,23,8243.88,26580.89,0.868,2.204,0.295,2,4,57.5,710,0.478,0
12159.04,18,9690.65,32387.49,0.606,1.255,0.204,8,7,77.4,685,0.159,1
12866.94,144,11046.45,32775.29,0.522,1.165,0.161,1,8,66.5,590,0.818,1
20843.0,29,23353.73,81397.7,0.637,0.892,0.195,5,3,57.3,695,0.76,1
5000.0,88,6645.45,17163.49,0.57,0.752,0.589,4,3,39.8,547,0.38,1
37706.21,31,15866.46,44162.13,0.601,2.376,0.265,5,6,80.4,690,0.497,1
11187.57,4,7425.47,21425.34,0.749,1.507,0.361,1,5,100.0,740,0.471,0
25808.76,14,12891.29,41942.6,0.751,2.002,0.342,1,4,92.1,658,0.61,0
8843.18,15,4049.04,12371.08,0.744,2.184,0.54,6,2,71.0,708,0.173,1
36944.68,34,20405.1,57909.5,0.649,1.811,0.361,1,9,89.2,679,0.712,1
11364.59,88,16281.14,44443.79,0.536,0.698,0.493,5,3,60.1,614,0.611,1
18626.33,26,16407.04,43339.99,0.641,1.135,0.461,3,3,33.2,626,0.569,0
12215.49,47,12076.66,37726.11,0.624,1.011,0.569,2,6,70.8,641,0.507,0
20884.77,14,14534.89,42246.28,0.601,1.437,0.536,5,3,80.9,645,0.384,1
15036.72,15,11901.47,38601.79,0.683,1.263,0.731,3,4,90.4,729,0.396,1
11896.27,21,15349.96,40768.72,0.787,0.775,0.145,3,4,73.6,749,0.649,0
26100.6,4,15296.58,47458.01,0.67,1.706,0.619,3,2,35.3,712,0.523,1
22155.38,38,13911.75,41593.51,0.675,1.593,0.59,0,5,87.9,748,0.704,0
15763.39,41,7644.2,21806.96,0.595,2.062,0.186,3,4,64.2,676,0.538,0
6956.32,18,7882.89,22625.19,0.731,0.882,0.366,0,4,77.1,499,0.459,1
5757.56,60,8904.81,26934.42,0.57,0.647,0.113,0,8,92.7,660,0.713,1
19429.3,38,30530.46,91360.46,0.606,0.636,0.508,2,3,87.9,613,0.872,0
28169.69,8,15617.43,43510.26,0.713,1.804,0.251,8,3,91.2,700,0.309,1
8611.42,4,10275.7,32098.68,0.617,0.838,0.281,4,3,63.6,651,0.416,0
9176.98,32,8193.78,26951.09,0.682,1.12,0.426,7,4,89.2,678,0.216,1
8230.5,19,7421.98,21831.49,0.742,1.109,0.089,3,6,70.9,663,0.412,0
33482.74,124,18981.53,59594.42,0.547,1.764,0.552,3,2,98.0,626,0.84,0
50871.21,37,35442.56,104971.76,0.696,1.435,0.604,6,5,73.8,609,0.708,1
17153.3,41,10771.7,38546.1,0.548,1.592,0.273,6,3,95.0,630,0.42,1
47697.34,16,24183.44,72630.89,0.696,1.972,0.622,5,2,83.5,686,0.598,1
13752.58,52,13242.01,41955.21,0.591,1.039,0.14,2,4,96.7,742,0.783,0
12058.26,29,14293.91,46886.06,0.678,0.844,0.5,5,4,78.7,686,0.418,1
13324.59,31,8591.68,24453.62,0.763,1.551,0.537,3,3,62.6,812,0.471,0
7488.2,26,9439.74,29918.68,0.449,0.793,0.286,0,4,83.0,698,0.737,0
20996.04,144,11837.67,37963.05,0.495,1.774,0.245,2,2,25.4,673,0.902,0
16793.18,31,15095.63,46844.28,0.488,1.112,0.436,2,2,92.7,728,0.752,0
13580.9,37,12667.98,40324.32,0.556,1.072,0.364,3,3,55.2,574,0.56,0
17446.51,27,14637.68,41636.15,0.62,1.192,0.213,5,7,62.8,621,0.407,1
6167.87,10,6329.49,22250.36,0.741,0.974,0.203,1,4,32.0,696,0.53,0
15321.21,14,12528.17,30373.0,0.728,1.223,0.453,6,4,71.5,616,0.236,1
11848.87,8,11390.81,31872.75,0.734,1.04,0.19,3,6,58.8,745,0.487,0
10818.73,45,13161.65,35259.4,0.671,0.822,0.46,7,8,99.7,630,0.209,1
10558.2,5,11532.88,39367.45,0.589,0.915,0.209,2,3,73.4,709,0.648,0
18435.73,20,8496.33,25221.93,0.722,2.17,0.179,3,5,15.7,666,0.44,0
65044.000799999965,17,46340.38859999986,140030.18359999993,0.607,1.281,0.18,4,3,68.3,776,1.0,0
15863.92,17,12801.11,36542.77,0.698,1.239,0.613,5,3,54.2,704,0.336,1
36647.79,88,17456.59,45981.09,0.512,2.099,0.572,5,2,62.9,695,0.681,1
23656.4,63,22344.41,70397.82,0.593,1.059,0.322,5,7,28.6,638,0.659,1
9031.84,46,8013.62,25441.04,0.629,1.127,0.286,5,6,79.0,625,0.321,1
5907.17,52,9388.86,28850.58,0.65,0.629,0.344,4,7,96.9,664,0.394,1
20496.37,98,26220.78,74156.96,0.502,0.782,0.514,4,5,57.8,693,0.846,0
13815.82,40,22272.71,74975.85,0.681,0.62,0.305,4,7,98.8,680,0.677,0
26504.21,24,24926.57,79457.11,0.562,1.063,0.581,2,4,74.2,572,0.745,0
5000.0,9,4617.95,11920.24,0.803,1.083,0.528,2,9,41.5,639,0.18,1
14083.31,55,12282.16,36275.19,0.567,1.147,0.233,3,5,48.1,679,0.643,0
15296.04,49,18019.96,49056.82,0.488,0.849,0.321,0,2,92.7,602,0.862,0
40126.2,9,19120.71,64116.65,0.669,2.099,0.555,5,6,93.5,684,0.415,1
16826.78,34,15088.08,43640.5,0.616,1.115,0.557,8,2,87.9,633,0.278,1
7778.96,14,6672.85,17809.7,0.611,1.166,0.369,4,2,58.1,695,0.379,1
18941.89,6,16659.48,49393.97,0.773,1.137,0.639,3,6,70.8,646,0.377,1
26118.29,12,13993.11,47318.48,0.726,1.867,0.256,4,4,97.8,662,0.49,0
33188.67,53,15914.27,51044.62,0.653,2.085,0.206,4,6,71.7,670,0.622,0
5000.0,40,6459.11,18569.17,0.576,0.774,0.411,8,4,68.1,691,0.188,1
13943.96,43,7893.75,23351.57,0.601,1.766,0.191,3,7,55.2,711,0.494,0
29478.99,53,37138.54,120283.91,0.572,0.794,0.574,0,2,54.9,588,0.962,0
19195.3,47,24295.55,81018.79,0.498,0.79,0.349,4,8,72.2,658,0.73,1
13278.81,59,14809.89,38917.75,0.633,0.897,0.492,4,7,77.5,668,0.472,0
12521.67,61,12565.0,38158.18,0.636,0.997,0.49,1,8,91.4,830,0.695,1
38600.48,17,40752.77,118787.47,0.668,0.947,0.287,1,6,95.5,714,0.954,0
12782.33,65,14149.05,40791.46,0.622,0.903,0.524,3,6,70.6,667,0.561,0
15393.49,4,9882.48,32830.45,0.606,1.558,0.397,2,4,24.2,586,0.436,0
10094.21,14,8223.55,21996.38,0.611,1.227,0.106,3,8,77.6,649,0.388,1
20658.39,139,17497.37,55872.68,0.514,1.181,0.557,5,3,98.7,798,0.824,1
6594.8,133,6303.81,15458.81,0.64,1.046,0.59,4,5,96.5,570,0.424,0
9565.23,9,15549.8,43943.23,0.757,0.615,0.356,4,4,85.9,647,0.444,0
30007.87,12,25683.04,77257.17,0.705,1.168,0.17,5,3,60.3,739,0.759,1
39343.46,62,34731.75,93265.57,0.745,1.133,0.272,6,8,96.3,793,0.824,1
8537.65,45,7954.28,28069.94,0.671,1.073,0.445,6,7,56.7,648,0.214,1
5000.0,50,3598.6726000000003,10774.730800000001,0.68,1.667,0.416,8,8,35.6,697,0.08,1
15703.4,21,15416.17,43297.16,0.765,1.019,0.136,3,9,75.2,719,0.452,1
21255.1,73,29803.41,84449.25,0.64,0.713,0.332,2,8,81.0,701,0.889,1
5000.0,131,5630.52,17680.26,0.659,0.888,0.536,3,1,93.7,678,0.652,0
9728.21,61,12902.6,41517.64,0.614,0.754,0.708,7,5,89.9,743,0.306,1
24248.59,6,12000.63,34739.76,0.636,2.021,0.05,1,3,53.9,732,0.745,0
6493.88,15,7707.93,23709.57,0.666,0.842,0.242,4,5,69.1,689,0.362,1
5899.26,27,4381.07,13558.0,0.678,1.347,0.205,6,9,98.6,764,0.194,1
18574.34,24,8868.35,23537.42,0.597,2.094,0.372,1,6,68.4,671,0.524,0
20236.73,51,10152.21,30166.44,0.576,1.993,0.153,3,3,90.5,673,0.657,0
5229.5,32,4072.59,11601.44,0.626,1.284,0.059,3,5,86.7,647,0.429,0
21644.79,55,28801.83,75645.49,0.537,0.752,0.688,3,9,97.8,518,0.639,1
50131.13,23,28034.85,85539.3,0.613,1.788,0.133,6,3,97.5,675,0.774,1
22438.44,31,13962.86,45289.36,0.701,1.607,0.43,2,5,73.4,672,0.584,0
18784.78,16,16558.48,49849.78,0.722,1.134,0.227,4,7,62.2,590,0.436,0
5000.0,38,4848.57,11553.17,0.549,1.031,0.478,2,2,65.8,620,0.452,0
36291.19,132,16600.38,47980.69,0.558,2.186,0.464,5,6,44.2,721,0.717,1
5790.28,13,7075.11,19708.02,0.671,0.818,0.581,3,2,81.9,580,0.296,1
15076.19,15,13619.46,46675.78,0.743,1.107,0.054,2,8,69.0,659,0.578,1
5000.0,10,3598.6726000000003,10774.730800000001,0.666,1.667,0.323,3,3,93.5,712,0.342,1
17426.96,22,10526.8,27503.13,0.575,1.655,0.506,6,2,65.8,594,0.272,1
48236.96,116,22798.85,68145.86,0.506,2.116,0.292,2,1,99.5,665,0.94,0
29575.94,17,14865.82,46864.79,0.582,1.99,0.148,0,9,46.7,683,0.697,1
42789.69,27,21562.23,65198.62,0.493,1.984,0.238,2,2,68.4,712,0.867,0
14516.76,15,7058.6,19816.05,0.67,2.057,0.394,4,5,79.7,678,0.291,1
5000.0,15,3598.6726000000003,10774.730800000001,0.715,1.667,0.197,2,7,23.4,688,0.332,1
40747.47,29,26292.97,83709.75,0.661,1.55,0.167,7,5,76.2,631,0.624,1
12728.87,16,16855.78,50976.53,0.577,0.755,0.303,8,3,76.8,685,0.316,1
20449.09,21,35039.92,122150.04,0.561,0.584,0.257,3,8,88.5,707,0.902,1
40874.27,121,19930.35,60260.13,0.551,2.051,0.467,3,8,72.9,576,0.747,1
17156.18,27,14420.07,37972.04,0.773,1.19,0.242,3,4,97.5,687,0.578,0
54610.55,15,38735.38,114349.75,0.753,1.41,0.511,6,2,55.8,825,0.865,1
6314.86,71,4196.06,12020.9,0.586,1.505,0.569,3,1,66.7,627,0.45,0
21179.43,4,15741.13,41358.68,0.698,1.345,0.491,3,3,87.6,670,0.497,0
14259.82,33,26335.55,79831.62,0.706,0.541,0.284,5,4,80.2,614,0.7,1
16395.56,27,15951.77,46254.64,0.643,1.028,0.435,0,7,57.1,734,0.72,0
9620.48,9,9686.04,29405.5,0.585,0.993,0.561,0,3,90.9,690,0.599,0
5000.0,24,4096.24,14087.89,0.468,1.221,0.4,4,3,83.5,655,0.341,1
14021.65,14,22985.8,68244.1,0.68,0.61,0.201,1,9,48.1,708,0.773,1
26328.38,32,23982.85,77845.66,0.63,1.098,0.278,4,6,12.4,716,0.747,0
14323.82,4,19517.44,57654.79,0.562,0.734,0.125,1,5,30.0,590,0.76,0
28982.9,70,15827.34,49060.12,0.5,1.831,0.336,3,6,66.5,687,0.719,0
23147.06,15,10532.33,31899.76,0.653,2.198,0.05,0,8,77.7,681,0.657,1
33721.88,81,15927.07,48803.46,0.547,2.117,0.425,4,1,93.1,660,0.76,0
44255.5,4,27984.23,83069.02,0.779,1.581,0.297,4,6,54.2,660,0.679,0
9182.85,23,10383.57,34765.09,0.76,0.884,0.055,4,3,67.1,708,0.545,0
47500.04,33,28054.01,88416.66,0.583,1.693,0.563,5,6,70.0,575,0.622,1
5000.0,69,10968.41,33209.71,0.708,0.456,0.409,3,7,39.2,630,0.471,0
6382.37,15,5725.04,18423.51,0.788,1.115,0.62,5,3,75.9,667,0.18,1
6152.27,57,4022.76,12192.39,0.645,1.529,0.418,3,3,90.0,628,0.4,0
21403.73,4,14959.04,48886.21,0.617,1.431,0.091,3,6,74.5,655,0.586,0
14821.63,22,15675.79,42588.99,0.668,0.946,0.161,3,5,53.1,640,0.601,0
5000.0,48,7384.3,25930.62,0.483,0.677,0.39,5,1,92.8,723,0.504,1
19451.68,69,29060.98,88384.71,0.556,0.669,0.277,2,4,61.0,660,0.925,0
7131.37,30,5962.57,16254.61,0.675,1.196,0.418,2,6,72.1,764,0.434,0
25438.67,116,26312.46,83667.61,0.566,0.967,0.317,6,8,30.6,660,0.786,1
35394.72,106,29818.99,98714.88,0.519,1.187,0.179,5,4,72.5,726,0.933,1
27468.56,5,23176.94,63829.92,0.683,1.185,0.329,5,6,69.4,693,0.545,1
5000.0,8,3598.6726000000003,10774.730800000001,0.617,1.667,0.544,5,4,65.2,746,0.191,1
24651.3,56,21625.39,70143.81,0.714,1.14,0.12,6,2,96.9,641,0.718,1
10412.23,21,9023.43,28292.9,0.766,1.154,0.115,4,4,84.2,673,0.435,0
19117.53,14,10792.27,31236.9,0.722,1.771,0.51,3,1,95.9,582,0.407,0
23697.47,64,26789.92,78767.65,0.585,0.885,0.393,1,5,73.9,574,0.877,0
51387.65,124,34240.33,92445.16,0.474,1.501,0.546,0,4,76.3,711,0.977,0
6247.37,89,4120.11,11383.56,0.644,1.516,0.534,5,9,97.5,616,0.186,1
5000.0,26,5416.12,14073.82,0.674,0.923,0.485,8,2,73.4,720,0.159,1
14369.27,26,26410.24,77022.62,0.581,0.544,0.505,5,2,52.5,657,0.712,1
31078.1,44,14450.49,45701.5,0.707,2.151,0.37,5,5,82.6,714,0.483,1
29043.95,21,14025.87,41180.63,0.63,2.071,0.741,4,7,60.7,708,0.319,1
9793.44,11,6357.87,20777.36,0.619,1.54,0.068,3,5,97.7,514,0.353,1
22175.72,37,18313.05,52100.33,0.706,1.211,0.195,5,8,54.4,642,0.481,1
22105.79,18,22416.15,59227.04,0.607,0.986,0.279,7,1,95.0,597,0.535,1
65044.000799999965,125,46340.38859999986,140030.18359999993,0.537,1.275,0.412,4,3,58.1,480,0.996,1
7061.56,4,9746.84,30099.53,0.776,0.724,0.237,5,7,63.6,619,0.223,1
12442.03,93,28222.33,92980.82,0.65,0.441,0.474,5,5,19.2,561,0.779,1
42410.52,15,38854.19,113423.48,0.686,1.092,0.051,3,6,67.3,657,0.925,0
7399.57,4,5264.89,17804.36,0.608,1.405,0.544,6,2,56.2,614,0.164,1
45340.4,113,43307.0,118730.28,0.504,1.047,0.157,3,2,69.3,690,0.987,0
20840.67,21,14185.75,41579.27,0.831,1.469,0.699,5,6,66.2,665,0.234,1
13271.17,29,14816.06,45897.78,0.718,0.896,0.306,7,5,87.4,714,0.35,1
7293.23,47,8389.54,24223.91,0.616,0.869,0.574,3,3,81.0,711,0.475,0
5000.0,42,11070.57,33816.28,0.549,0.452,0.239,1,3,84.5,710,0.76,0
20451.63,16,8544.96,28193.68,0.538,2.393,0.237,2,4,75.0,678,0.568,0
7225.18,102,10545.33,32589.37,0.647,0.685,0.285,4,5,92.8,639,0.599,0
25466.67,100,19442.93,57496.52,0.647,1.31,0.399,3,6,68.3,630,0.756,0
12727.62,16,18754.95,61784.66,0.663,0.679,0.522,7,7,70.7,618,0.263,1
6160.68,6,5980.27,18676.32,0.657,1.03,0.47,2,8,55.7,648,0.265,1
12413.05,65,8641.33,25907.43,0.689,1.436,0.55,6,5,100.0,712,0.291,1
7916.46,49,14370.64,42836.47,0.523,0.551,0.156,3,1,73.2,718,0.799,0
5000.0,6,5223.16,15208.6,0.827,0.957,0.46,1,1,95.9,568,0.368,1
24647.23,62,15761.02,50472.18,0.661,1.564,0.532,5,5,92.8,671,0.49,1
19528.95,74,11533.34,37037.62,0.509,1.693,0.461,3,4,63.7,664,0.636,0
5019.16,87,6112.92,20195.1,0.639,0.821,0.6,5,9,75.6,596,0.209,1
14856.18,36,17048.25,52905.08,0.594,0.871,0.424,4,5,79.8,705,0.591,0
5215.01,14,6806.86,19531.41,0.582,0.766,0.464,2,3,92.4,775,0.508,0
62948.68,89,29098.7,89605.97,0.627,2.163,0.135,4,4,55.8,633,0.907,0
19821.43,23,12267.4,35146.65,0.583,1.616,0.145,1,4,91.6,657,0.712,0
10032.5,38,7686.09,23357.24,0.551,1.305,0.175,1,3,56.5,691,0.7,0
9340.29,16,12573.36,41974.32,0.702,0.743,0.229,5,4,73.0,808,0.51,1
25195.56,72,28358.08,93113.77,0.586,0.888,0.139,1,5,93.2,713,0.952,0
29855.72,25,36982.01,118981.39,0.721,0.807,0.412,2,6,62.4,620,0.897,0
16332.74,17,18393.35,55080.05,0.644,0.888,0.091,6,7,53.3,614,0.44,1
13251.03,49,9086.15,29212.2,0.602,1.458,0.409,3,3,53.3,660,0.533,0
9969.44,9,12656.2,36022.35,0.535,0.788,0.208,1,7,21.0,655,0.614,0
15134.12,14,11979.23,31735.07,0.706,1.263,0.382,1,2,77.5,706,0.648,0
14880.3,41,13622.51,41756.45,0.635,1.092,0.198,3,2,94.8,660,0.691,0
40455.33,134,17026.24,49544.81,0.62,2.376,0.511,2,3,27.1,673,0.856,0
6046.49,8,5767.33,19771.58,0.737,1.048,0.196,7,5,90.4,614,0.148,1
20575.31,31,22579.14,76583.18,0.669,0.911,0.264,4,2,63.1,651,0.766,0
18448.04,13,18550.14,52583.13,0.619,0.994,0.37,3,6,69.7,689,0.594,0
33267.47,64,13909.39,44047.18,0.579,2.392,0.539,1,3,76.7,790,0.801,0
50085.58,18,22958.1,57994.6,0.701,2.182,0.419,2,5,69.0,657,0.701,0
23406.78,72,21108.38,65044.21,0.592,1.109,0.441,6,1,11.3,676,0.711,1
16525.78,125,8230.87,25312.61,0.641,2.008,0.323,6,3,98.5,630,0.513,1
7414.54,22,9769.56,26980.4,0.755,0.759,0.287,2,9,38.2,613,0.354,1
45929.58,5,25892.41,78703.21,0.66,1.774,0.343,8,4,97.1,690,0.424,1
17899.63,4,10113.67,28087.74,0.693,1.77,0.069,0,5,99.0,688,0.67,0
6109.54,86,8869.58,28422.2,0.528,0.689,0.238,4,4,66.7,581,0.565,0
22525.14,30,19312.69,58801.29,0.641,1.166,0.401,3,5,81.2,578,0.601,0
15049.2,95,14806.91,49725.47,0.635,1.016,0.244,7,7,88.6,717,0.519,1
32056.84,144,29263.79,77039.6,0.495,1.095,0.559,5,2,81.3,613,0.905,1
11247.73,36,11428.26,31903.84,0.618,0.984,0.44,3,4,80.3,668,0.507,0
5587.9,27,7313.15,21088.19,0.576,0.764,0.127,3,2,69.0,677,0.573,0
8721.49,48,8096.96,25244.06,0.592,1.077,0.321,4,6,77.0,669,0.409,0
5000.0,15,3598.6726000000003,10774.730800000001,0.721,1.436,0.125,1,7,67.7,645,0.398,1
6297.86,23,6254.49,19401.67,0.647,1.007,0.237,2,3,62.1,698,0.534,0
29356.39,78,22062.64,62750.66,0.507,1.331,0.51,0,4,69.6,731,0.912,0
20932.44,15,21933.77,55783.95,0.681,0.954,0.279,2,4,13.0,659,0.743,0
5000.0,43,8754.11,24665.73,0.634,0.571,0.249,1,7,58.1,576,0.521,0
5207.27,35,5096.34,17011.42,0.729,1.022,0.498,6,5,74.9,592,0.146,1
20117.59,4,20876.54,59521.23,0.672,0.964,0.167,4,3,82.2,744,0.71,0
61893.31,75,30158.46,91757.92,0.519,2.052,0.576,7,6,56.1,613,0.675,1
36115.06,25,18040.03,54383.94,0.722,2.002,0.323,6,4,77.0,717,0.488,1
7018.1,25,5128.32,15611.02,0.595,1.368,0.398,1,6,55.3,579,0.387,1
19974.52,14,15867.69,42517.94,0.578,1.259,0.217,3,5,93.0,584,0.557,0
7576.84,16,17858.41,57081.3,0.593,0.424,0.285,1,6,71.0,686,0.742,0
26529.69,25,19113.09,56883.5,0.612,1.388,0.628,3,2,62.9,616,0.609,1
28995.86,125,17607.87,62586.61,0.404,1.647,0.518,0,5,40.7,739,0.929,0
14331.26,92,10594.53,30835.31,0.454,1.353,0.387,2,1,82.9,658,0.79,0
11136.25,15,10015.78,32396.14,0.726,1.112,0.356,5,4,74.4,606,0.283,1
19979.99,11,23273.78,67654.64,0.659,0.858,0.24,2,9,80.5,584,0.649,1
39544.31,60,18580.2,64298.85,0.599,2.128,0.273,3,6,80.2,771,0.792,0
5000.0,45,5530.9,17562.68,0.634,0.904,0.214,1,1,85.1,648,0.661,0
45406.78,42,30005.63,80761.1,0.67,1.513,0.106,2,5,22.1,654,0.901,0
19934.35,31,20579.86,68689.27,0.589,0.969,0.132,1,3,83.0,646,0.87,0
13864.04,45,29586.68,94264.91,0.666,0.469,0.499,4,6,59.1,672,0.777,0
28417.24,20,25802.31,74513.73,0.667,1.101,0.281,4,5,11.6,673,0.728,0
5000.0,39,6098.19,15933.59,0.577,0.82,0.266,4,2,60.3,661,0.451,0
8273.12,96,18747.87,61633.89,0.609,0.441,0.4,2,2,57.7,555,0.832,0
19746.23,40,17911.68,61161.79,0.64,1.102,0.168,4,4,87.5,704,0.72,0
5000.0,9,4616.7,15090.08,0.611,1.083,0.224,7,6,58.6,644,0.146,1
10058.47,70,7934.65,25460.04,0.536,1.268,0.641,4,4,89.3,723,0.45,1
43280.26,136,28570.87,89536.22,0.567,1.515,0.382,2,1,76.6,758,0.975,0
61971.31,57,25001.55,81359.44,0.684,2.479,0.275,5,5,71.8,659,0.746,1
65044.000799999965,36,46340.38859999986,140030.18359999993,0.654,1.318,0.602,1,7,93.8,670,0.981,1
13400.5,50,13227.52,33921.78,0.688,1.013,0.267,3,3,34.8,640,0.619,0
15413.06,96,6670.29,21226.07,0.659,2.311,0.394,2,6,61.6,581,0.521,0
9327.97,29,12937.28,40030.82,0.636,0.721,0.368,1,8,90.2,746,0.623,1
16051.23,11,18185.99,48431.78,0.684,0.883,0.265,1,6,80.7,636,0.676,0
10359.09,4,8925.37,22078.87,0.733,1.161,0.532,3,5,41.9,672,0.289,1
15864.23,4,12813.54,38690.86,0.604,1.238,0.388,3,6,62.7,556,0.368,1
15333.4,70,10907.08,32314.44,0.674,1.406,0.479,5,3,90.3,593,0.409,1
31291.05,36,25088.42,73820.15,0.734,1.247,0.308,4,2,94.2,525,0.712,1
18860.28,17,20144.18,63234.52,0.613,0.936,0.196,2,5,86.8,668,0.763,0
8968.4,32,7720.89,21781.92,0.853,1.162,0.295,4,2,64.5,605,0.349,1
6492.64,33,10116.14,32016.99,0.704,0.642,0.216,4,5,54.5,631,0.422,0
5000.0,36,7379.98,23370.09,0.636,0.678,0.228,4,5,74.5,668,0.407,0
5000.0,4,3598.6726000000003,10774.730800000001,0.548,1.447,0.082,4,3,64.1,567,0.302,1
6114.01,127,11268.46,33619.69,0.533,0.543,0.457,2,4,67.8,626,0.763,0
5157.52,31,4142.99,12627.95,0.687,1.245,0.292,5,3,48.2,673,0.286,1
18469.74,57,26721.61,84962.43,0.634,0.691,0.174,4,4,61.3,667,0.856,0
48931.38,47,22444.39,70290.36,0.534,2.18,0.108,6,2,40.3,528,0.7,1
14387.24,28,10374.07,26762.79,0.608,1.387,0.239,6,4,92.9,685,0.359,1
12925.04,50,15386.89,46513.95,0.672,0.84,0.46,6,2,55.1,591,0.429,1
46356.02,27,21359.08,62747.18,0.693,2.17,0.242,3,6,92.1,671,0.698,0
35793.66,5,17859.16,58184.54,0.746,2.004,0.506,1,5,52.2,672,0.629,0
48147.55,35,40655.01,110269.8,0.645,1.184,0.645,6,4,26.4,742,0.842,1
32362.63,48,13622.33,40858.58,0.626,2.376,0.271,3,2,34.1,659,0.684,0
55828.59,68,31705.67,101747.25,0.633,1.761,0.355,1,9,74.0,632,0.907,1
18728.14,14,12333.09,39250.03,0.678,1.519,0.655,5,4,66.6,598,0.247,1
8196.41,8,11976.06,35484.42,0.572,0.684,0.468,1,7,79.3,681,0.516,0
16281.93,39,15994.43,52512.02,0.745,1.018,0.188,6,9,72.9,571,0.222,1
37173.83,144,24122.68,68135.47,0.599,1.541,0.539,2,7,52.7,614,0.88,0
12930.38,28,8617.8,27367.72,0.686,1.5,0.274,4,5,87.8,480,0.282,1
12314.72,51,7575.82,24360.59,0.532,1.626,0.443,1,5,74.6,569,0.53,0
27397.79,39,14843.73,39657.11,0.697,1.846,0.393,6,7,61.3,715,0.349,1
5000.0,32,4432.41,14683.22,0.625,1.128,0.169,4,2,80.2,607,0.393,1
14457.04,16,11109.84,28933.86,0.727,1.301,0.227,2,2,60.0,639,0.58,0
12599.17,108,8031.17,24813.89,0.595,1.569,0.241,3,8,40.0,603,0.554,1
11356.08,72,11430.02,33004.0,0.575,0.994,0.423,5,7,72.1,721,0.452,1
23262.65,131,11292.25,36620.35,0.613,2.06,0.392,1,4,77.2,636,0.819,0
20583.66,90,23887.23,73552.34,0.488,0.862,0.369,0,5,79.1,661,0.932,0
17302.29,5,13925.69,47762.55,0.686,1.242,0.129,1,4,53.0,612,0.677,0
31973.49,30,14686.4,48065.93,0.766,2.177,0.148,4,5,82.2,779,0.618,0
14110.65,14,9675.91,29333.92,0.707,1.458,0.475,1,3,65.7,578,0.474,0
23198.14,94,27067.29,89029.8,0.63,0.857,0.424,8,2,67.6,627,0.673,1
14164.47,10,16055.69,47769.45,0.68,0.882,0.462,4,3,88.9,744,0.535,0
22766.12,40,13332.48,36512.16,0.637,1.708,0.253,1,1,59.9,649,0.789,0
